lineNo,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug
bug2#src/lib_json/json_reader.cpp#FUNCTIONNOTFOUND#44,63,3,61,0,1,3.0232558139534884,0.045454545454545456,61,2.496,0.21320071635561044,0.023622047244094488,3,0
bug2#src/lib_json/json_reader.cpp#FUNCTIONNOTFOUND#48,63,3,61,0,1,3.0232558139534884,0.045454545454545456,61,2.496,0.21320071635561044,0.023622047244094488,3,0
bug2#src/lib_json/json_reader.cpp#FUNCTIONNOTFOUND#51,63,3,61,0,1,3.0232558139534884,0.045454545454545456,61,2.496,0.21320071635561044,0.023622047244094488,3,0
bug2#src/lib_json/json_reader.cpp#FUNCTIONNOTFOUND#54,63,3,61,0,1,3.0232558139534884,0.045454545454545456,61,2.496,0.21320071635561044,0.023622047244094488,3,0
bug2#src/lib_json/json_reader.cpp#Features::Features()#63,63,3,61,0,1,3.0232558139534884,0.045454545454545456,61,2.496,0.21320071635561044,0.023622047244094488,3,0
bug2#src/lib_json/json_reader.cpp#Features::all()#65,63,3,61,0,1,3.0232558139534884,0.045454545454545456,61,2.496,0.21320071635561044,0.023622047244094488,3,0
bug2#src/lib_json/json_reader.cpp#Features::strictMode()#67,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_reader.cpp#Features::strictMode()#68,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_reader.cpp#Features::strictMode()#69,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_reader.cpp#Features::strictMode()#70,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_reader.cpp#Features::strictMode()#71,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_reader.cpp#Features::strictMode()#72,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_reader.cpp#Features::strictMode()#73,1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_reader.cpp#Features::strictMode()#74,124,3,0,0,1,3.0119521912350598,0.023622047244094488,0,2.008,0.15369465587356798,0.023622047244094488,3,0
"bug2#src/lib_json/json_reader.cpp#Reader::containsNewLine(class Reader::Location begin, class Reader::Location end)#79",1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
"bug2#src/lib_json/json_reader.cpp#Reader::containsNewLine(class Reader::Location begin, class Reader::Location end)#80",1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
"bug2#src/lib_json/json_reader.cpp#Reader::containsNewLine(class Reader::Location begin, class Reader::Location end)#81",1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
"bug2#src/lib_json/json_reader.cpp#Reader::containsNewLine(class Reader::Location begin, class Reader::Location end)#82",1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
"bug2#src/lib_json/json_reader.cpp#Reader::containsNewLine(class Reader::Location begin, class Reader::Location end)#83",1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
"bug2#src/lib_json/json_reader.cpp#Reader::containsNewLine(class Reader::Location begin, class Reader::Location end)#84",1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
bug2#src/lib_json/json_reader.cpp#Reader::Reader()#89,63,3,61,0,1,3.0232558139534884,0.045454545454545456,61,2.496,0.21320071635561044,0.023622047244094488,3,0
bug2#src/lib_json/json_reader.cpp#Reader::Reader(const class Json::Features & features)#91,1,3,123,0,1,3.6,0.75,123,2.992,0.8660254037844387,0.023622047244094488,3,0
"bug2#src/lib_json/json_reader.cpp#Reader::parse(const std::string & document, class Json::Value & root, _Bool collectComments)#93",13,3,111,0,1,3.103448275862069,0.1875,111,2.896,0.43301270189221935,0.023622047244094488,3,0
"bug2#src/lib_json/json_reader.cpp#Reader::parse(const std::string & document, class Json::Value & root, _Bool collectComments)#95",13,3,111,0,1,3.103448275862069,0.1875,111,2.896,0.43301270189221935,0.023622047244094488,3,0
"bug2#src/lib_json/json_reader.cpp#Reader::parse(const std::string & document, class Json::Value & root, _Bool collectComments)#96",13,3,111,0,1,3.103448275862069,0.1875,111,2.896,0.43301270189221935,0.023622047244094488,3,0
"bug2#src/lib_json/json_reader.cpp#Reader::parse(const std::string & document, class Json::Value & root, _Bool collectComments)#97",13,3,111,0,1,3.103448275862069,0.1875,111,2.896,0.43301270189221935,0.023622047244094488,3,0
"bug2#src/lib_json/json_reader.cpp#Reader::parse(const std::string & document, class Json::Value & root, _Bool collectComments)#98",13,3,111,0,1,3.103448275862069,0.1875,111,2.896,0.43301270189221935,0.023622047244094488,3,0
"bug2#src/lib_json/json_reader.cpp#Reader::parse(const std::string & document, class Json::Value & root, _Bool collectComments)#99",13,3,111,0,1,3.103448275862069,0.1875,111,2.896,0.43301270189221935,0.023622047244094488,3,0
"bug2#src/lib_json/json_reader.cpp#Reader::parse(std::istream & is, class Json::Value & root, _Bool collectComments)#101",1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
"bug2#src/lib_json/json_reader.cpp#Reader::parse(std::istream & is, class Json::Value & root, _Bool collectComments)#109",1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
"bug2#src/lib_json/json_reader.cpp#Reader::parse(std::istream & is, class Json::Value & root, _Bool collectComments)#110",1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
"bug2#src/lib_json/json_reader.cpp#Reader::parse(std::istream & is, class Json::Value & root, _Bool collectComments)#111",1,0,123,3,0,0.0,0.0,-1,-0.008,0.0,0.0,0,0
