lineNo,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestInt value)#92,9,0,84,3,0,0.0,0.0,-1,-0.09574468085106383,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestInt value)#93,9,0,84,3,0,0.0,0.0,-1,-0.09574468085106383,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestInt value)#94,9,0,84,3,0,0.0,0.0,-1,-0.09574468085106383,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestInt value)#95,9,0,84,3,0,0.0,0.0,-1,-0.09574468085106383,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestInt value)#96,1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestInt value)#97,1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestInt value)#98,9,0,84,3,0,0.0,0.0,-1,-0.09574468085106383,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestInt value)#99,2,0,91,3,0,0.0,0.0,-1,-0.02127659574468085,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestInt value)#100,2,0,91,3,0,0.0,0.0,-1,-0.02127659574468085,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestInt value)#101,2,0,91,3,0,0.0,0.0,-1,-0.02127659574468085,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestInt value)#102,8,0,85,3,0,0.0,0.0,-1,-0.0851063829787234,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestInt value)#105,9,0,84,3,0,0.0,0.0,-1,-0.09574468085106383,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestInt value)#106,9,0,84,3,0,0.0,0.0,-1,-0.09574468085106383,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestUInt value)#108,16,0,77,3,0,0.0,0.0,-1,-0.1702127659574468,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestUInt value)#109,16,0,77,3,0,0.0,0.0,-1,-0.1702127659574468,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestUInt value)#110,16,0,77,3,0,0.0,0.0,-1,-0.1702127659574468,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestUInt value)#111,16,0,77,3,0,0.0,0.0,-1,-0.1702127659574468,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestUInt value)#113,16,0,77,3,0,0.0,0.0,-1,-0.1702127659574468,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::LargestUInt value)#114,16,0,77,3,0,0.0,0.0,-1,-0.1702127659574468,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::Int value)#118,0,0,93,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(Json::UInt value)#120,0,0,93,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#125",8,0,85,3,0,0.0,0.0,-1,-0.0851063829787234,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#130",8,0,85,3,0,0.0,0.0,-1,-0.0851063829787234,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#133",1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#134",1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#137",7,0,86,3,0,0.0,0.0,-1,-0.07446808510638298,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#138",7,0,86,3,0,0.0,0.0,-1,-0.07446808510638298,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#139",7,0,86,3,0,0.0,0.0,-1,-0.07446808510638298,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#140",7,0,86,3,0,0.0,0.0,-1,-0.07446808510638298,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#141",7,0,86,3,0,0.0,0.0,-1,-0.07446808510638298,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#142",7,0,86,3,0,0.0,0.0,-1,-0.07446808510638298,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#144",7,0,86,3,0,0.0,0.0,-1,-0.07446808510638298,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#145",7,0,86,3,0,0.0,0.0,-1,-0.07446808510638298,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#146",0,0,93,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#147",0,0,93,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#149",7,0,86,3,0,0.0,0.0,-1,-0.07446808510638298,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#150",7,0,86,3,0,0.0,0.0,-1,-0.07446808510638298,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#151",7,0,86,3,0,0.0,0.0,-1,-0.07446808510638298,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#153",7,0,86,3,0,0.0,0.0,-1,-0.07446808510638298,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#156",7,0,86,3,0,0.0,0.0,-1,-0.07446808510638298,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#157",1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#158",1,0,92,3,0,0.0,0.0,-1,-0.010638297872340425,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#162",7,0,86,3,0,0.0,0.0,-1,-0.07446808510638298,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#163",6,0,87,3,0,0.0,0.0,-1,-0.06382978723404255,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#164",6,0,87,3,0,0.0,0.0,-1,-0.06382978723404255,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#165",7,0,86,3,0,0.0,0.0,-1,-0.07446808510638298,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, _Bool useSpecialFloats, unsigned int precision, enum Json::PrecisionType precisionType)#166",8,0,85,3,0,0.0,0.0,-1,-0.0851063829787234,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, unsigned int precision, enum Json::PrecisionType precisionType)#169",5,0,88,3,0,0.0,0.0,-1,-0.05319148936170213,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#valueToString(double value, unsigned int precision, enum Json::PrecisionType precisionType)#171",5,0,88,3,0,0.0,0.0,-1,-0.05319148936170213,0.0,0.0,0,0
bug3#src/lib_json/json_writer.cpp#valueToString(_Bool value)#174,8,0,85,3,0,0.0,0.0,-1,-0.0851063829787234,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#isAnyCharRequiredQuoting(const char * s, size_t n)#176",23,0,70,3,0,0.0,0.0,-1,-0.24468085106382978,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#isAnyCharRequiredQuoting(const char * s, size_t n)#179",23,0,70,3,0,0.0,0.0,-1,-0.24468085106382978,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#isAnyCharRequiredQuoting(const char * s, size_t n)#180",23,0,70,3,0,0.0,0.0,-1,-0.24468085106382978,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#isAnyCharRequiredQuoting(const char * s, size_t n)#181",23,0,70,3,0,0.0,0.0,-1,-0.24468085106382978,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#isAnyCharRequiredQuoting(const char * s, size_t n)#182",23,0,70,3,0,0.0,0.0,-1,-0.24468085106382978,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#isAnyCharRequiredQuoting(const char * s, size_t n)#183",23,0,70,3,0,0.0,0.0,-1,-0.24468085106382978,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#isAnyCharRequiredQuoting(const char * s, size_t n)#184",3,0,90,3,0,0.0,0.0,-1,-0.031914893617021274,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#isAnyCharRequiredQuoting(const char * s, size_t n)#185",22,0,71,3,0,0.0,0.0,-1,-0.23404255319148937,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#isAnyCharRequiredQuoting(const char * s, size_t n)#186",21,0,72,3,0,0.0,0.0,-1,-0.22340425531914893,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#isAnyCharRequiredQuoting(const char * s, size_t n)#187",23,0,70,3,0,0.0,0.0,-1,-0.24468085106382978,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#utf8ToCodepoint(const char *& s, const char * e)#189",3,0,90,3,0,0.0,0.0,-1,-0.031914893617021274,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#utf8ToCodepoint(const char *& s, const char * e)#190",3,0,90,3,0,0.0,0.0,-1,-0.031914893617021274,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#utf8ToCodepoint(const char *& s, const char * e)#192",10,0,83,3,0,0.0,0.0,-1,-0.10638297872340426,0.0,0.0,0,0
"bug3#src/lib_json/json_writer.cpp#utf8ToCodepoint(const char *& s, const char * e)#193",8,0,85,3,0,0.0,0.0,-1,-0.0851063829787234,0.0,0.0,0,0
