lineNo,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug
bug4#include/json/value.h#FUNCTIONNOTFOUND#83,0,0,122,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
bug4#include/json/value.h#FUNCTIONNOTFOUND#94,0,0,122,3,0,0.0,0.0,-1,0.0,0.0,0.0,0,0
bug4#include/json/value.h#StaticString::StaticString(const char * czstring)#149,2,0,120,3,0,0.0,0.0,-1,-0.016260162601626018,0.0,0.0,0,0
bug4#include/json/value.h#StaticString::c_str()#153,2,0,120,3,0,0.0,0.0,-1,-0.016260162601626018,0.0,0.0,0,0
bug4#include/json/value.h#Value::setType(enum Json::ValueType v)#594,122,3,0,0,1,3.0121457489878543,0.024,0,2.008130081300813,0.15491933384829668,0.024,3,0
bug4#include/json/value.h#Value::setType(enum Json::ValueType v)#595,122,3,0,0,1,3.0121457489878543,0.024,0,2.008130081300813,0.15491933384829668,0.024,3,0
bug4#include/json/value.h#Value::setType(enum Json::ValueType v)#596,122,3,0,0,1,3.0121457489878543,0.024,0,2.008130081300813,0.15491933384829668,0.024,3,0
bug4#include/json/value.h#Value::isAllocated()#597,122,3,0,0,1,3.0121457489878543,0.024,0,2.008130081300813,0.15491933384829668,0.024,3,0
bug4#include/json/value.h#Value::setIsAllocated(_Bool v)#598,122,3,0,0,1,3.0121457489878543,0.024,0,2.008130081300813,0.15491933384829668,0.024,3,0
bug4#include/json/value.h#FUNCTIONNOTFOUND#633,122,3,0,0,1,3.0121457489878543,0.024,0,2.008130081300813,0.15491933384829668,0.024,3,0
bug4#include/json/value.h#Comments::Comments()#635,122,3,0,0,1,3.0121457489878543,0.024,0,2.008130081300813,0.15491933384829668,0.024,3,0
bug4#include/json/value.h#Value::as()#656,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#Value::is()#657,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#Value::as()#659,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#Value::is()#660,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#Value::as()#662,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#Value::is()#663,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#Value::as()#666,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#Value::is()#667,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#Value::as()#669,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#Value::is()#670,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#Value::as()#673,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#Value::is()#674,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#Value::as()#676,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#Value::is()#677,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#Value::as()#681,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#Value::as()#682,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#Value::as()#683,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#FUNCTIONNOTFOUND#689,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#FUNCTIONNOTFOUND#716,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
bug4#include/json/value.h#ValueIteratorBase::operator==(const Json::ValueIteratorBase::SelfType & other)#752,6,0,116,3,0,0.0,0.0,-1,-0.04878048780487805,0.0,0.0,0,0
bug4#include/json/value.h#ValueIteratorBase::operator!=(const Json::ValueIteratorBase::SelfType & other)#754,8,0,114,3,0,0.0,0.0,-1,-0.06504065040650407,0.0,0.0,0,0
bug4#include/json/value.h#ValueIteratorBase::operator-(const Json::ValueIteratorBase::SelfType & other)#756,1,0,121,3,0,0.0,0.0,-1,-0.008130081300813009,0.0,0.0,0,0
