key,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug,Rank
bug1#src/lib_json/json_value.cpp#Value::resize(Json::Value::ArrayIndex newSize),0,3,123,0,1,4.0,1.0,123,3.0,1.0,0.023809523809523808,3,1,5.0
bug1#src/test_lib_json/jsontest.cpp#TestResult::addToLastFailure(const Json::String & message),0,3,123,0,1,4.0,1.0,123,3.0,1.0,0.023809523809523808,3,0,5.0
bug1#src/test_lib_json/jsontest.cpp#TestResult::printFailure(_Bool printTestName),0,3,123,0,1,4.0,1.0,123,3.0,1.0,0.023809523809523808,3,0,5.0
"bug1#src/test_lib_json/jsontest.cpp#TestResult::indentText(const Json::String & text, const Json::String & indent)",0,3,123,0,1,4.0,1.0,123,3.0,1.0,0.023809523809523808,3,0,5.0
"bug1#src/test_lib_json/jsontest.h#checkEqual(class JsonTest::TestResult & result, T expected, U actual, const char * file, unsigned int line, const char * expr)",0,3,123,0,1,4.0,1.0,123,3.0,1.0,0.023809523809523808,3,0,5.0
bug1#include/json/value.h#ValueIterator::operator*(),1,3,122,0,1,3.6,0.75,122,2.9919354838709675,0.8660254037844387,0.023809523809523808,3,0,7.0
bug1#src/test_lib_json/jsontest.h#TestResult::operator<<(const T & value),1,3,122,0,1,3.6,0.75,122,2.9919354838709675,0.8660254037844387,0.023809523809523808,3,0,7.0
bug1#src/lib_json/json_valueiterator.inl#ValueIterator::ValueIterator(const class Json::ValueIterator & other),2,3,121,0,1,3.4285714285714284,0.6,121,2.9838709677419355,0.7745966692414834,0.023809523809523808,3,0,9.0
bug1#src/lib_json/json_valueiterator.inl#ValueIteratorBase::deref(),2,3,121,0,1,3.4285714285714284,0.6,121,2.9838709677419355,0.7745966692414834,0.023809523809523808,3,0,9.0
"bug1#src/test_lib_json/jsontest.cpp#TestResult::addFailureInfo(const char * file, unsigned int line, const char * expr, unsigned int nestingLevel)",3,3,120,0,1,3.333333333333333,0.5,120,2.9758064516129035,0.7071067811865476,0.023809523809523808,3,0,13.0
bug1#src/test_lib_json/jsontest.h#FUNCTIONNOTFOUND,3,3,120,0,1,3.333333333333333,0.5,120,2.9758064516129035,0.7071067811865476,0.023809523809523808,3,0,13.0
"bug1#src/test_lib_json/jsontest.cpp#TestResult::addFailure(const char * file, unsigned int line, const char * expr)",3,3,120,0,1,3.333333333333333,0.5,120,2.9758064516129035,0.7071067811865476,0.023809523809523808,3,0,13.0
bug1#src/test_lib_json/jsontest.cpp#Runner::runAllTest(_Bool printSummary),3,3,120,0,1,3.333333333333333,0.5,120,2.9758064516129035,0.7071067811865476,0.023809523809523808,3,0,13.0
bug1#include/json/value.h#ValueIterator::operator++(),4,3,119,0,1,3.2727272727272725,0.42857142857142855,119,2.967741935483871,0.6546536707079772,0.023809523809523808,3,0,14.0
bug1#src/lib_json/json_valueiterator.inl#ValueIteratorBase::increment(),5,3,118,0,1,3.2307692307692313,0.375,118,2.9596774193548385,0.6123724356957946,0.023809523809523808,3,0,16.0
bug1#include/json/value.h#ValueIteratorBase::operator!=(const Json::ValueIteratorBase::SelfType & other),5,3,118,0,1,3.2307692307692313,0.375,118,2.9596774193548385,0.6123724356957946,0.023809523809523808,3,0,16.0
bug1#src/lib_json/json_value.cpp#Value::operator==(const class Json::Value & other),6,3,117,0,1,3.2,0.3333333333333333,117,2.9516129032258065,0.5773502691896257,0.023809523809523808,3,0,17.0
bug1#src/lib_json/json_value.cpp#Value::end(),7,3,116,0,1,3.1764705882352944,0.3,116,2.943548387096774,0.5477225575051661,0.023809523809523808,3,0,19.0
bug1#src/lib_json/json_valueiterator.inl#ValueIteratorBase::isEqual(const Json::ValueIteratorBase::SelfType & other),7,3,116,0,1,3.1764705882352944,0.3,116,2.943548387096774,0.5477225575051661,0.023809523809523808,3,0,19.0
bug1#src/lib_json/json_value.cpp#Value::begin(),8,3,115,0,1,3.1578947368421053,0.2727272727272727,115,2.9354838709677415,0.5222329678670935,0.023809523809523808,3,0,22.0
bug1#src/lib_json/json_valueiterator.inl#ValueIterator::ValueIterator(const class Value::ObjectValues::iterator & current),8,3,115,0,1,3.1578947368421053,0.2727272727272727,115,2.9354838709677415,0.5222329678670935,0.023809523809523808,3,0,22.0
bug1#src/lib_json/json_valueiterator.inl#ValueIteratorBase::ValueIteratorBase(const class Value::ObjectValues::iterator & current),8,3,115,0,1,3.1578947368421053,0.2727272727272727,115,2.9354838709677415,0.5222329678670935,0.023809523809523808,3,0,22.0
bug1#src/lib_json/json_value.cpp#Value::size(),15,3,108,0,1,3.0909090909090913,0.16666666666666666,108,2.879032258064516,0.40824829046386296,0.023809523809523808,3,0,23.0
bug1#src/lib_json/json_value.cpp#CZString::index(),16,3,107,0,1,3.085714285714286,0.15789473684210525,107,2.870967741935484,0.3973597071195131,0.023809523809523808,3,0,24.0
