key,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug,Rank
bug3#src/test_lib_json/jsontest.cpp#TestResult::printFailure(_Bool printTestName),0,3,93,0,1,4.0,1.0,93,3.0,1.0,0.03125,3,0,8.0
bug3#src/lib_json/json_reader.cpp#OurReader::skipBom(_Bool allowBom),0,3,93,0,1,4.0,1.0,93,3.0,1.0,0.03125,3,1,8.0
bug3#src/lib_json/json_reader.cpp#OurReader::readToken(class Json::OurReader::Token & token),0,3,93,0,1,4.0,1.0,93,3.0,1.0,0.03125,3,0,8.0
"bug3#src/test_lib_json/jsontest.cpp#TestResult::addFailureInfo(const char * file, unsigned int line, const char * expr, unsigned int nestingLevel)",0,3,93,0,1,4.0,1.0,93,3.0,1.0,0.03125,3,0,8.0
"bug3#src/test_lib_json/jsontest.cpp#TestResult::addFailure(const char * file, unsigned int line, const char * expr)",0,3,93,0,1,4.0,1.0,93,3.0,1.0,0.03125,3,0,8.0
bug3#src/test_lib_json/jsontest.h#FUNCTIONNOTFOUND,0,3,93,0,1,4.0,1.0,93,3.0,1.0,0.03125,3,0,8.0
bug3#src/lib_json/json_reader.cpp#OurReader::getNextChar(),0,3,93,0,1,4.0,1.0,93,3.0,1.0,0.03125,3,0,8.0
bug3#src/test_lib_json/jsontest.cpp#Runner::runAllTest(_Bool printSummary),0,3,93,0,1,4.0,1.0,93,3.0,1.0,0.03125,3,0,8.0
bug3#src/lib_json/json_reader.cpp#OurReader::currentValue(),1,3,92,0,1,3.6,0.75,92,2.98936170212766,0.8660254037844387,0.03125,3,0,25.0
bug3#src/lib_json/json_reader.cpp#CharReaderBuilder::newCharReader(),1,3,92,0,1,3.6,0.75,92,2.98936170212766,0.8660254037844387,0.03125,3,0,25.0
bug3#src/lib_json/json_reader.cpp#FUNCTIONNOTFOUND,1,3,92,0,1,3.6,0.75,92,2.98936170212766,0.8660254037844387,0.03125,3,0,25.0
"bug3#src/lib_json/json_reader.cpp#OurCharReader::OurCharReader(_Bool collectComments, const class Json::OurFeatures & features)",1,3,92,0,1,3.6,0.75,92,2.98936170212766,0.8660254037844387,0.03125,3,0,25.0
"bug3#src/lib_json/json_reader.cpp#OurCharReader::parse(const char * beginDoc, const char * endDoc, class Json::Value * root, Json::String * errs)",1,3,92,0,1,3.6,0.75,92,2.98936170212766,0.8660254037844387,0.03125,3,0,25.0
