key,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug,Rank
"bug4#src/lib_json/json_reader.cpp#OurReader::decodeNumber(class Json::OurReader::Token & token, class Json::Value & decoded)",0,3,122,0,1,4.0,1.0,122,3.0,1.0,0.024,3,1,1.0
bug4#src/lib_json/json_reader.cpp#OurReader::readToken(class Json::OurReader::Token & token),1,3,121,0,1,3.6,0.75,121,2.991869918699187,0.8660254037844387,0.024,3,0,2.0
bug4#src/lib_json/json_reader.cpp#OurReader::readValue(),3,3,119,0,1,3.333333333333333,0.5,119,2.975609756097561,0.7071067811865476,0.024,3,0,5.0
bug4#src/lib_json/json_reader.cpp#OurReader::decodeNumber(class Json::OurReader::Token & token),3,3,119,0,1,3.333333333333333,0.5,119,2.975609756097561,0.7071067811865476,0.024,3,0,5.0
bug4#src/lib_json/json_reader.cpp#OurReader::readNumber(_Bool checkInf),3,3,119,0,1,3.333333333333333,0.5,119,2.975609756097561,0.7071067811865476,0.024,3,0,5.0
bug4#src/test_lib_json/main.cpp#TestCharReaderTestossFuzz_18147_2::runTestCase(),0,1,122,2,0,2.0,0.3333333333333333,-1,1.0,0.5773502691896258,0.008,1,0,8.0
bug4#src/test_lib_json/main.cpp#TestCharReaderTestossFuzz_18147_3::runTestCase(),0,1,122,2,0,2.0,0.3333333333333333,-1,1.0,0.5773502691896258,0.008,1,0,8.0
bug4#src/test_lib_json/main.cpp#TestCharReaderTestossFuzz_18147_1::runTestCase(),0,1,122,2,0,2.0,0.3333333333333333,-1,1.0,0.5773502691896258,0.008,1,0,8.0
bug4#src/lib_json/json_value.cpp#Value::Value(Json::Value::Int64 value),8,3,114,0,1,3.1578947368421053,0.2727272727272727,114,2.9349593495934965,0.5222329678670935,0.024,3,0,9.0
bug4#src/lib_json/json_reader.cpp#OurReader::getNextChar(),27,3,95,0,1,3.0526315789473686,0.1,95,2.7804878048780486,0.31622776601683794,0.024,3,0,10.0
bug4#src/lib_json/json_reader.cpp#OurReader::skipSpaces(),29,3,93,0,1,3.0491803278688523,0.09375,93,2.7642276422764227,0.3061862178478973,0.024,3,0,14.0
bug4#src/lib_json/json_reader.cpp#OurReader::skipCommentTokens(class Json::OurReader::Token & token),29,3,93,0,1,3.0491803278688523,0.09375,93,2.7642276422764227,0.3061862178478973,0.024,3,0,14.0
bug4#src/lib_json/json_reader.cpp#OurReader::skipBom(_Bool allowBom),29,3,93,0,1,3.0491803278688523,0.09375,93,2.7642276422764227,0.3061862178478973,0.024,3,0,14.0
"bug4#src/lib_json/json_reader.cpp#OurReader::parse(const char * beginDoc, const char * endDoc, class Json::Value & root, _Bool collectComments)",29,3,93,0,1,3.0491803278688523,0.09375,93,2.7642276422764227,0.3061862178478973,0.024,3,0,14.0
bug4#include/json/reader.h#FUNCTIONNOTFOUND,30,3,92,0,1,3.0476190476190474,0.09090909090909093,92,2.756097560975609,0.30151134457776363,0.024,3,0,24.0
bug4#src/lib_json/json_reader.cpp#OurReader::getFormattedErrorMessages(),30,3,92,0,1,3.0476190476190474,0.09090909090909093,92,2.756097560975609,0.30151134457776363,0.024,3,0,24.0
bug4#src/lib_json/json_reader.cpp#OurReader::currentValue(),30,3,92,0,1,3.0476190476190474,0.09090909090909093,92,2.756097560975609,0.30151134457776363,0.024,3,0,24.0
bug4#src/lib_json/json_reader.cpp#OurReader::OurReader(const class Json::OurFeatures & features),30,3,92,0,1,3.0476190476190474,0.09090909090909093,92,2.756097560975609,0.30151134457776363,0.024,3,0,24.0
bug4#src/lib_json/json_reader.cpp#FUNCTIONNOTFOUND,30,3,92,0,1,3.0476190476190474,0.09090909090909093,92,2.756097560975609,0.30151134457776363,0.024,3,0,24.0
bug4#src/lib_json/json_reader.cpp#OurFeatures::all(),30,3,92,0,1,3.0476190476190474,0.09090909090909093,92,2.756097560975609,0.30151134457776363,0.024,3,0,24.0
"bug4#src/lib_json/json_reader.cpp#OurCharReader::OurCharReader(_Bool collectComments, const class Json::OurFeatures & features)",30,3,92,0,1,3.0476190476190474,0.09090909090909093,92,2.756097560975609,0.30151134457776363,0.024,3,0,24.0
"bug4#src/lib_json/json_reader.cpp#OurCharReader::parse(const char * beginDoc, const char * endDoc, class Json::Value * root, Json::String * errs)",30,3,92,0,1,3.0476190476190474,0.09090909090909093,92,2.756097560975609,0.30151134457776363,0.024,3,0,24.0
bug4#include/json/reader.h#CharReader::~CharReader(),30,3,92,0,1,3.0476190476190474,0.09090909090909093,92,2.756097560975609,0.30151134457776363,0.024,3,0,24.0
bug4#src/lib_json/json_reader.cpp#CharReaderBuilder::newCharReader(),30,3,92,0,1,3.0476190476190474,0.09090909090909093,92,2.756097560975609,0.30151134457776363,0.024,3,0,24.0
bug4#src/lib_json/json_reader.cpp#OurReader::readObject(class Json::OurReader::Token & token),13,2,109,1,0,2.071428571428572,0.125,-1,1.8943089430894309,0.298142396999972,0.016,2,0,25.0
bug4#src/lib_json/json_reader.cpp#CharReaderBuilder::setDefaults(Json::Value * settings),32,3,90,0,1,3.044776119402985,0.08571428571428573,90,2.739837398373984,0.29277002188456,0.024,3,0,29.0
bug4#src/lib_json/json_reader.cpp#CharReaderBuilder::~CharReaderBuilder(),32,3,90,0,1,3.044776119402985,0.08571428571428573,90,2.739837398373984,0.29277002188456,0.024,3,0,29.0
bug4#include/json/reader.h#Factory::~Factory(),32,3,90,0,1,3.044776119402985,0.08571428571428573,90,2.739837398373984,0.29277002188456,0.024,3,0,29.0
bug4#src/lib_json/json_reader.cpp#CharReaderBuilder::CharReaderBuilder(),32,3,90,0,1,3.044776119402985,0.08571428571428573,90,2.739837398373984,0.29277002188456,0.024,3,0,29.0
bug4#src/lib_json/json_value.cpp#Value::asUInt(),44,3,78,0,1,3.0329670329670333,0.06382978723404255,78,2.6422764227642275,0.2526455763199557,0.024,3,0,31.0
bug4#src/lib_json/json_value.cpp#Value::operator[](const char * key),44,3,78,0,1,3.0329670329670333,0.06382978723404255,78,2.6422764227642275,0.2526455763199557,0.024,3,0,31.0
bug4#src/lib_json/json_value.cpp#Value::isUInt(),45,3,77,0,1,3.032258064516129,0.0625,77,2.6341463414634148,0.25,0.024,3,0,33.0
bug4#src/test_lib_json/main.cpp#FUNCTIONNOTFOUND,45,3,77,0,1,3.032258064516129,0.0625,77,2.6341463414634148,0.25,0.024,3,0,33.0
bug4#src/lib_json/json_value.cpp#Value::setOffsetLimit(ptrdiff_t limit),48,3,74,0,1,3.0303030303030303,0.05882352941176471,74,2.609756097560976,0.24253562503633302,0.024,3,0,35.0
bug4#src/lib_json/json_value.cpp#Value::setOffsetStart(ptrdiff_t start),48,3,74,0,1,3.0303030303030303,0.05882352941176471,74,2.609756097560976,0.24253562503633302,0.024,3,0,35.0
bug4#src/lib_json/json_value.cpp#Value::asBool(),51,3,71,0,1,3.0285714285714285,0.05555555555555555,71,2.5853658536585367,0.23570226039551584,0.024,3,0,36.0
bug4#src/lib_json/json_value.cpp#CZString::operator==(const class Json::Value::CZString & other),52,3,70,0,1,3.02803738317757,0.054545454545454536,70,2.5772357723577235,0.2335496832484569,0.024,3,0,37.0
"bug4#src/lib_json/json_reader.cpp#OurReader::decodeString(class Json::OurReader::Token & token, Json::String & decoded)",23,2,99,1,0,2.0416666666666665,0.07692307692307693,-1,1.8130081300813008,0.2309401076758503,0.016,2,0,38.0
bug4#src/lib_json/json_reader.cpp#OurReader::readString(),24,2,98,1,0,2.04,0.07407407407407407,-1,1.804878048780488,0.22645540682891915,0.016,2,0,39.0
